Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",2.1,334,24.73,25.01
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.29,328,19.61,24.6
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",8.73,290,16.41,21.23
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",4.85,35,3.41,0.18
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",5.49,56,3.95,1.98
MILK,"MILK,CND,EVAP,W/ VIT A",10.04,134,6.81,7.56
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",51.98,362,36.16,0.77
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",52.19,358,35.1,0.72
CHEESE,"CHEESE,GOAT,HARD TYPE",2.17,452,30.52,35.59
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",2.54,364,21.58,29.84
CHEESE,"CHEESE,GOAT,SOFT TYPE",0.89,268,18.52,21.08
EGG,"EGG,YOLK,RAW,FRZ,SALTED",1.6,274,14.0,23.0
CHEESE SUB,"CHEESE SUB,MOZZARELLA",23.67,248,11.47,12.22
No Category,CHEESE FONDUE,3.77,229,14.23,13.47
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",5.48,197,10.33,14.92
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",4.63,373,21.44,29.98
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",2.87,356,22.6,28.26
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.56,374,21.56,29.68
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",1.91,173,24.35,7.0
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1.91,398,24.35,32.62
