Продукт,"Белки, г","Жиры, г","Углеводы, г","Калорийность, Ккал",Цена за 100гр
Печень говяжья,9.9,13.9,13.5,219,35.51
Печень говяжья жареная,17.9,3.7,5.3,127,35.51
Печень говяжья тушеная в соусе,22.8,10.2,9.4,208,35.51
Печень говяжья сырая,13.5,9.2,8.6,159,35.51
Печень свиная,17.0,5.0,0.0,116,35.51
Свинина жареная,10.3,17.2,1.5,202,38.92
Свинина отварная,19.6,26.2,0.0,314,38.92
Свинина тушеная,22.5,31.5,0.0,373,38.92
Свинина беконная,9.0,20.4,3.5,235,49.267
Свинина жирная,17.0,27.8,0.0,318,38.92
Свинина мясная,11.7,49.3,0.0,491,38.92
Зеленый чай,0.0,0.0,0.0,231,141.97
Какао без молока,0.0,0.0,0.3,1,114.75
Какао с заменителем сахара,1.0,1.0,12.0,55,114.75
Кофе жареный в зернах,0.0,0.0,1.5,239,191.71
Кофе растворимый черный,0.7,1.0,11.2,58,393.42
Сок виноградный,0.7,0.1,13.2,60,13.718
Чай с сахаром,0.7,0.8,8.2,43,41.18
"Яблоки в сиропе, консервы",0.0,0.0,1.0,1,18.71
Белокочанная капуста,2.9,4.5,7.4,83,4.98
Грибы сыроежки,3.3,0.5,1.2,22,41.19
Картофель,1.7,0.2,3.4,22,6.91
"Картофель, жаренный брусочками",6.6,0.3,71.6,317,6.91
"Картофель, жаренный ломтиками (из отварного)",2.8,9.6,23.5,192,6.91
Лук зеленый (перо),4.5,13.5,27.4,251,6.151
Лук репка,2.0,0.2,6.3,36,6.15
Морковь,1.8,0.2,3.7,19,7.14
Морковь отварная,1.3,0.1,6.9,35,7.14
Огурцы (грунтовые),0.9,0.2,0.0,5,11.28
Огурцы (парниковые),0.8,0.1,2.5,14,11.28
Перец сладкий,1.0,0.0,3.0,16,24.96
Помидоры,2.4,4.2,18.9,124,17.64
Пюре картофельное,1.7,6.2,6.3,88,6.91
"Томатная паста, консервы",6.5,12.9,11.3,189,39.86
"Томатное пюре, консервы",4.8,0.0,19.0,102,39.86
Чеснок,1.0,0.0,3.0,16,36.52
Соус майонез со сметаной,1.3,4.8,6.1,75,30.93
"Горбуша в томатном соусе, консервы",20.5,6.5,0.0,140,43.03
Сельдь рубленая,17.0,8.5,0.0,145,38.46
"Сом в томатном соусе, консервы",17.2,5.1,0.0,115,43.03
Апельсин,2.8,0.6,66.9,255,16.53
Банан,0.7,0.2,28.7,122,14.93
Груша,0.5,0.2,28.1,120,27.13
Лимон,1.0,0.0,11.0,30,24.33
Виноград,0.6,0.2,70.4,273,31.77
Яйцо,12.7,11.5,0.7,157,8.316
